course_name|url|level|description
Intro to jQuery|https://www.udacity.com/course/intro-to-jquery--ud245|Intermediate|Learn how to access and modify the DOM with ease using jQuery!
Intro to AJAX|https://www.udacity.com/course/intro-to-ajax--ud110|Intermediate|Learn how to perform asynchronous requests as you build a web app with data from Google Street View, the New York Times and Wikipedia!
Intro to Artificial Intelligence|https://www.udacity.com/course/intro-to-artificial-intelligence--cs271|Intermediate|This course will introduce you to the basics of AI. Topics include machine learning, probabilistic reasoning, robotics, computer vision, and natural language processing.
Data Analysis with R|https://www.udacity.com/course/data-analysis-with-r--ud651|Intermediate|Data is everywhere and so much of it is unexplored. Learn how to investigate and summarize data sets using R and eventually create your own analysis.
UX Design for Mobile Developers|https://www.udacity.com/course/ux-design-for-mobile-developers--ud849|Beginner|This is a design course made for developers. You'll learn UX design skills which will help you make 5-star mobile apps that your users will love.
Developing Scalable Apps in Java|https://www.udacity.com/course/developing-scalable-apps-in-java--ud859|Advanced|You will learn about challenges of building applications that can serve hundreds of thousands of users, and how you can prepare for them as a developer.
Intro to Parallel Programming|https://www.udacity.com/course/intro-to-parallel-programming--cs344|Advanced|Learn the fundamentals of parallel computing with the GPU and the CUDA programming environment by coding a series of image processing algorithms. #filters, #cuda.
Intro to Descriptive Statistics|https://www.udacity.com/course/intro-to-descriptive-statistics--ud827|Beginner|Intro to Descriptive Statistics will teach you the basic concepts of statistics that can be used to extract information from data.
Intro to Inferential Statistics|https://www.udacity.com/course/intro-to-inferential-statistics--ud201|Beginner|Intro to Inferential Statistics will teach you how to test your hypotheses and begin to make predictions based on statistical results drawn from data!
Introduction to Operating Systems|https://www.udacity.com/course/introduction-to-operating-systems--ud923|Intermediate|Introduction to Operating Systems teaches the basic operating system abstractions, mechanisms, and their implementations.
Intro to Information Security|https://www.udacity.com/course/intro-to-information-security--ud459|Intermediate|
Advanced Operating Systems|https://www.udacity.com/course/advanced-operating-systems--ud189|Advanced|
Computability, Complexity & Algorithms|https://www.udacity.com/course/computability-complexity-algorithms--ud061|Advanced|Learn tools and techniques that will help you recognize when problems you encounter are intractable and when there an efficient solution.
Shell Workshop|https://www.udacity.com/course/shell-workshop--ud206|Beginner|The Unix shell is a valuable tool for developing and deploying software. Learn the basics of this terminal-based, command-line interface.
HTTP & Web Servers|https://www.udacity.com/course/http-web-servers--ud303|Intermediate|HTTP is the fundamental protocol of the Web. Explore how it works using Python code and command-line tools.
Knowledge-Based AI: Cognitive Systems|https://www.udacity.com/course/knowledge-based-ai-cognitive-systems--ud409|Advanced|The twin goals of knowledge-based artificial intelligence (AI) are to build AI agents capable of human-level intelligence and gain insights into human cognition.
Machine Learning for Trading|https://www.udacity.com/course/machine-learning-for-trading--ud501|Intermediate|Implement machine learning based strategies to make trading decisions using real-world data.
High Performance Computer Architecture|https://www.udacity.com/course/high-performance-computer-architecture--ud007|Advanced|The HPCA course covers performance measurement, pipelining, and improved parallelism through various means.
High Performance Computing|https://www.udacity.com/course/high-performance-computing--ud281|Advanced|This course will give you solid foundations for developing, analyzing, and implementing parallel and locality-efficient algorithms.  Offered at Georgia Tech as CS6220
Health Informatics in the Cloud|https://www.udacity.com/course/health-informatics-in-the-cloud--ud809|Beginner|This survey course provides a broad, forward-facing overview of contemporary health informatics within the context of the US healthcare delivery system.
Computer Networking|https://www.udacity.com/course/computer-networking--ud436|Intermediate|This is an advanced Computer Networking course that delves into the latest concepts and tools used by the CN industry.
Computational Photography|https://www.udacity.com/course/computational-photography--ud955|Intermediate|This class explores how computation impacts the entire workflow of photography, which is traditionally aimed at capturing light from a 3D scene to form a 2D image.
